Energy(eV)	cross section (m-2)					
	(1) E + AR > E + AR	(2)  E + AR > AR* + E	(3) E + AR > AR* + E	(4) E + AR > AR^ + E + E	(5) E + AR* > AR^ + E + E	(6)  E + AR* > AR + E
7.800000E-06	9.995710E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.728150E-21
7.900000E-06	9.995650E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.727580E-21
8.000000E-06	9.995600E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.727010E-21
8.100000E-06	9.995540E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.726440E-21
8.200000E-06	9.995490E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.726420E-21
8.300000E-06	9.995440E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.725850E-21
8.400000E-06	9.995380E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.725290E-21
8.500000E-06	9.995330E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.724720E-21
8.600000E-06	9.995270E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.724150E-21
8.700000E-06	9.995220E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.723580E-21
8.800000E-06	9.995160E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.723020E-21
8.900000E-06	9.995110E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.722450E-21
9.000000E-06	9.995050E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.721880E-21
9.100000E-06	9.995000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.721860E-21
9.200000E-06	9.994940E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.721290E-21
9.300000E-06	9.994890E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.720730E-21
9.400000E-06	9.994830E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.720160E-21
9.500000E-06	9.994770E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.719590E-21
9.600000E-06	9.994720E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.719030E-21
9.700000E-06	9.994660E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.718460E-21
9.800000E-06	9.994610E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.717890E-21
9.900000E-06	9.994550E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.717330E-21
1.000000E-05	9.994500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.716760E-21
2.000000E-05	9.989000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.666650E-21
3.000000E-05	9.983500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.616980E-21
4.000000E-05	9.978000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.568800E-21
5.000000E-05	9.972500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.521010E-21
6.000000E-05	9.967000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.474640E-21
7.000000E-05	9.961500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.428620E-21
8.000000E-05	9.956000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.383970E-21
9.000000E-05	9.950500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.339620E-21
1.000000E-04	9.945000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.296590E-21
1.100000E-04	9.939500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.253830E-21
1.200000E-04	9.934000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.212330E-21
1.300000E-04	9.928500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.171080E-21
1.400000E-04	9.923000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.131030E-21
1.500000E-04	9.917500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.091200E-21
