Time x_Exact v_Exact v_Exact_half x_FD v_FD x_LF v_LF
2.44141 -0.99729 -0.092444 -0.111657 -1.04525 -0.0981601 -0.997299 -0.111507
2.46582 -0.999078 -0.0539578 -0.0732095 -1.04765 -0.0578624 -0.999083 -0.0730578
2.49023 -0.999925 -0.0154209 -0.0346934 -1.04906 -0.0174724 -0.999926 -0.03454
2.51465 -0.999831 0.0231306 0.00385531 -1.04948 0.0229721 -0.999828 0.0040103
2.53906 -0.998795 0.0616603 0.0424004 -1.04892 0.063433 -0.998789 0.0425568
2.56348 -0.99682 0.100132 0.0809056 -1.04738 0.103872 -0.99681 0.0810633
2.58789 -0.993907 0.138509 0.119335 -1.04484 0.144252 -0.993893 0.119493
2.6123 -0.990058 0.176756 0.157651 -1.04132 0.184534 -0.99004 0.157811
2.63672 -0.985278 0.214837 0.19582 -1.03681 0.22468 -0.985255 0.19598
2.66113 -0.97957 0.252716 0.233804 -1.03133 0.264652 -0.979543 0.233965
2.68555 -0.97294 0.290356 0.271568 -1.02487 0.304413 -0.972909 0.271729
2.70996 -0.965394 0.327724 0.309076 -1.01743 0.343925 -0.96536 0.309238
2.73438 -0.95694 0.364782 0.346294 -1.00904 0.38315 -0.956901 0.346456
2.75879 -0.947586 0.401498 0.383185 -0.999683 0.422052 -0.947542 0.383347
2.7832 -0.937339 0.437836 0.419716 -0.989379 0.460593 -0.937291 0.419878
2.80762 -0.92621 0.473761 0.455852 -0.978134 0.498736 -0.926158 0.456014
2.83203 -0.91421 0.509241 0.491559 -0.965958 0.536446 -0.914153 0.49172
2.85645 -0.901349 0.544242 0.526803 -0.952861 0.573687 -0.901288 0.526963
2.88086 -0.88764 0.57873 0.561552 -0.938855 0.610423 -0.887574 0.561711
2.90527 -0.873095 0.612674 0.595772 -0.923952 0.646619 -0.873025 0.59593
2.92969 -0.857729 0.646041 0.629431 -0.908165 0.68224 -0.857654 0.629588
2.9541 -0.841555 0.678799 0.662498 -0.891509 0.717253 -0.841476 0.662653
2.97852 -0.824589 0.71092 0.694941 -0.873998 0.751623 -0.824506 0.695094
3.00293 -0.806848 0.742371 0.726731 -0.855648 0.785318 -0.80676 0.726882
3.02734 -0.788346 0.773123 0.757836 -0.836475 0.818306 -0.788255 0.757985
3.05176 -0.769103 0.803147 0.788228 -0.816497 0.850555 -0.769007 0.788374
3.07617 -0.749136 0.832416 0.817878 -0.795731 0.882034 -0.749036 0.818022
3.10059 -0.728464 0.860902 0.846758 -0.774197 0.912712 -0.72836 0.8469
3.125 -0.707107 0.888577 0.874842 -0.751914 0.942559 -0.706998 0.87498
3.14941 -0.685084 0.915415 0.902102 -0.728903 0.971548 -0.684971 0.902237
3.17383 -0.662416 0.941393 0.928513 -0.705183 0.99965 -0.662299 0.928645
3.19824 -0.639124 0.966484 0.95405 -0.680778 1.02684 -0.639003 0.954179
3.22266 -0.615232 0.990665 0.97869 -0.655709 1.05308 -0.615106 0.978814
3.24707 -0.59076 1.01391 1.00241 -0.629998 1.07836 -0.590631 1.00253
3.27148 -0.565732 1.03621 1.02518 -0.603671 1.10265 -0.565599 1.0253
3.2959 -0.540171 1.05753 1.04699 -0.576751 1.12592 -0.540035 1.0471
3.32031 -0.514103 1.07785 1.06782 -0.549263 1.14816 -0.513962 1.06793
3.34473 -0.48755 1.09716 1.08764 -0.521231 1.16934 -0.487406 1.08774
3.36914 -0.460539 1.11544 1.10643 -0.492683 1.18943 -0.460391 1.10653
3.39355 -0.433094 1.13267 1.12419 -0.463644 1.20843 -0.432943 1.12428
3.41797 -0.405241 1.14883 1.14088 -0.434142 1.2263 -0.405087 1.14097
3.44238 -0.377007 1.16391 1.15651 -0.404203 1.24304 -0.37685 1.15659
3.4668 -0.348419 1.17789 1.17104 -0.373855 1.25862 -0.348259 1.17112
3.49121 -0.319502 1.19077 1.18447 -0.343127 1.27303 -0.319339 1.18454
3.51562 -0.290285 1.20253 1.19679 -0.312047 1.28626 -0.290119 1.19686
3.54004 -0.260794 1.21315 1.20798 -0.280644 1.29829 -0.260626 1.20804
3.56445 -0.231058 1.22263 1.21803 -0.248948 1.30911 -0.230887 1.21809
3.58887 -0.201105 1.23096 1.22694 -0.216987 1.31871 -0.200931 1.22699
3.61328 -0.170962 1.23814 1.2347 -0.184792 1.32708 -0.170786 1.23474
3.6377 -0.140658 1.24414 1.24129 -0.152393 1.3342 -0.140481 1.24132
3.66211 -0.110222 1.24898 1.24671 -0.119819 1.34008 -0.110043 1.24674
3.68652 -0.0796824 1.25264 1.25096 -0.0871027 1.3447 -0.0795013 1.25098
3.71094 -0.0490677 1.25512 1.25403 -0.0542732 1.34805 -0.048885 1.25404
3.73535 -0.0184067 1.25642 1.25592 -0.0213618 1.35015 -0.0182227 1.25593
3.75977 0.0122715 1.25654 1.25663 0.0116008 1.35097 0.0124568 1.25663
3.78418 0.0429383 1.25548 1.25616 0.0445834 1.35052 0.0431246 1.25615
3.80859 0.0735646 1.25323 1.2545 0.0775552 1.3488 0.0737518 1.25449
3.83301 0.104122 1.24981 1.25167 0.110485 1.34581 0.10431 1.25165
3.85742 0.134581 1.2452 1.24765 0.143342 1.34155 0.134769 1.24762
3.88184 0.164913 1.23943 1.24246 0.176094 1.33603 0.165102 1.24243
3.90625 0.19509 1.23249 1.23611 0.208712 1.32924 0.195279 1.23606
3.93066 0.225084 1.22439 1.22859 0.241164 1.32119 0.225273 1.22853
3.95508 0.254866 1.21514 1.21991 0.27342 1.31189 0.255054 1.21985
3.97949 0.284408 1.20474 1.21008 0.305449 1.30135 0.284596 1.21002
4.00391 0.313682 1.19321 1.19912 0.33722 1.28958 0.313869 1.19904
4.02832 0.342661 1.18056 1.18703 0.368704 1.27658 0.342847 1.18694
4.05273 0.371317 1.1668 1.17382 0.39987 1.26236 0.371503 1.17373
4.07715 0.399624 1.15193 1.1595 0.43069 1.24695 0.399808 1.1594
4.10156 0.427555 1.13599 1.14409 0.461133 1.23034 0.427738 1.14399
